"name","link","Provider","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","Price_AMD","Price_USD","externalObjectId","objectType","country","state","city","address","zipcode","phone","photosCount","rankingCategory","objectRank","objectsInCategoryCount","reviewCount","avgScore","certificate","scoreDistribution","languageDistribution","tagcloud"
"Tamara's Place","https://www.tripadvisor.com//Hotel_Review-g293932-d12855133-Reviews-Tamara_s_Place-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",8000,17,"d12855133","Hotel","Armenia","Yerevan","Yerevan","Moldovakan str. 4","0096","Missing","Missing","Missing","Missing","Missing","105","Missing","Missing","Missing","Missing","Missing"
"Tatev Apartments","https://www.tripadvisor.com//Hotel_Review-g293932-d12518196-Reviews-Tatev_Apartments-Yerevan.html","Booking.com",1,"0","0","0","0","0","0","0",25000,52,"d12518196","Hotel","Armenia","Yerevan","Yerevan","Marshala Bagramyana St., 12, 1st Line","0063","Missing","8","B&Bs / Inns in Yerevan","84","139","1","5","Missing","['1', '0', '0', '0', '0']","Missing","Missing"
"Tatev Hostel & Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d15676977-Reviews-Tatev_Hostel_Hotel-Yerevan.html","Booking.com",0,"1","1","0","0","0","0","0",11992,25,"d15676977","Hotel","Armenia","Yerevan","Yerevan","Kochar Yervand str. 2/5","0070","Missing","1","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Technical Center-Academy","https://www.tripadvisor.com//Hotel_Review-g293932-d2442927-Reviews-Technical_Center_Academy-Yerevan.html","Hotels.com",0,"0","0","0","0","0","0","0",19911,41,"d2442927","Hotel","Armenia","Yerevan","Yerevan","Acharyan str. 35/31","0040","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"The Alexander, a Luxury Collection Hotel, Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d13950040-Reviews-The_Alexander_a_Luxury_Collection_Hotel_Yerevan-Yerevan.html","Expedia.com",15,"1","0","0","1","1","1","0",107724,223,"d13950040","Hotel","Armenia","Yerevan","Yerevan","Abovyan str. 3/4","0001","00 1 844-631-0595","115","Hotels in Yerevan","48","82","15","4.5","Missing","['9', '0', '0', '0', '2']","{'English': '11', 'Russian': '2', 'French': '1', 'Spanish': '1'}","['reviews', 'pool', 'area', 'special', 'thanks', 'republic', 'square', 'floor', 'centre']"
"The Ark Tours & Accommodation Armenian Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d13438577-Reviews-The_Ark_Tours_Accommodation_Armenian_Hostel-Yerevan.html","Hotels.com",0,"1","0","1","0","0","0","0",19911,41,"d13438577","Hotel","Armenia","Yerevan","Yerevan","Demirchyan Street","0022","Missing","Missing","Missing","Missing","Missing","81","Missing","Missing","Missing","Missing","Missing"
"The Ark Tours & Accommodation Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d13164230-Reviews-The_Ark_Tours_Accommodation_Yerevan-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",11700,24,"d13164230","Hotel","Armenia","Yerevan","Yerevan","1 bck. of 6 Street Villa no. 29","1001","Missing","Missing","Missing","Missing","Missing","Missing","Missing","Missing","Missing","Missing","Missing"
"The Doctor's House B&B","https://www.tripadvisor.com//Hotel_Review-g293932-d12319090-Reviews-The_Doctor_s_House_B_B-Yerevan.html","Booking.com",0,"1","0","0","0","0","0","0",12492,26,"d12319090","Hotel","Armenia","Yerevan","Yerevan","Apt. 58 Aygyestan 11 str.","0025","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"The Highway Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15074575-Reviews-The_Highway_Hostel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",4158,9,"d15074575","Hotel","Armenia","Yerevan","Yerevan","Davitashyen str. 3","0054","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"The Hostel City","https://www.tripadvisor.com//Hotel_Review-g293932-d15217820-Reviews-The_Hostel_City-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",22500,46,"d15217820","Hotel","Armenia","Yerevan","Yerevan","11/7, 7 Khanjyan Street","0012","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"The Ivory","https://www.tripadvisor.com//Hotel_Review-g293932-d9721756-Reviews-The_Ivory-Yerevan.html","Marriott Hotels",9,"0","0","0","0","0","0","0",36000,74,"d9721756","Hotel","Armenia","Yerevan","Yerevan","Isaakyan A. str. 38/2","0009","Missing","5","B&Bs / Inns in Yerevan","27","139","9","5","Missing","['3', '0', '0', '0', '0']","{'English': '3', 'German': '3', 'Russian': '2', 'Dutch': '1'}","Missing"
"The Modern Place by J","https://www.tripadvisor.com//Hotel_Review-g293932-d13988025-Reviews-The_Modern_Place_by_J-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",10833,22,"d13988025","Hotel","Armenia","Yerevan","Yerevan","Movses Khorenatsi Street","0100","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"The Rooms Hostel Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d13854775-Reviews-The_Rooms_Hostel_Yerevan-Yerevan.html","Booking.com",2,"0","0","0","0","0","0","0",20825,43,"d13854775","Hotel","Armenia","Yerevan","Yerevan","53 Pavstos Buzand Street","0010","Missing","8","Specialty Lodging in Yerevan","74","281","2","5","Missing","['1', '0', '0', '0', '0']","{'English': '1', 'Russian': '1'}","Missing"
"The Transit Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15263433-Reviews-The_Transit_Hostel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",5825,12,"d15263433","Hotel","Armenia","Yerevan","Yerevan","21 Nikol Duman Street","0028","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"The View Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d12907898-Reviews-The_View_Hostel-Yerevan.html","Booking.com",0,"1","0","0","0","0","0","0",14990,31,"d12907898","Hotel","Armenia","Yerevan","Yerevan","Sayat-Nova Avenue 15,13,89","0007","Missing","Missing","Missing","Missing","Missing","240","Missing","Missing","Missing","Missing","Missing"
"Theatre Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d1568148-Reviews-Theatre_Hostel-Yerevan.html","Booking.com",91,"1","0","1","0","0","0","0",22400,46,"d1568148","Hotel","Armenia","Yerevan","Yerevan","27 Tigran Mets Ave","0018","Missing","42","Specialty Lodging in Yerevan","20","281","91","4","Missing","['35', '21', '9', '2', '3']","{'English': '70', 'Russian': '12', 'French': '2', 'German': '2', 'Italian': '2', 'Japanese': '1', 'Polish': '1', 'Spanish': '1', 'Swedish': '1'}","Missing"
"Three Jugs","https://www.tripadvisor.com//Hotel_Review-g293932-d2229384-Reviews-Three_Jugs-Yerevan.html","Booking.com",60,"1","0","1","0","0","0","0",10833,22,"d2229384","Hotel","Armenia","Yerevan","Yerevan","Jrvezh District, 123","2227","Missing","157","B&Bs / Inns in Yerevan","5","139","60","Missing","Missing","['48', '9', '2', '1', '0']","{'English': '39', 'Russian': '17', 'German': '1'}","['armenian hospitality', 'dough', 'pottery', 'city', 'countries', 'pillows', 'georgia', 'driver']"
"Tora Palace","https://www.tripadvisor.com//Hotel_Review-g293932-d5488907-Reviews-Tora_Palace-Yerevan.html","Booking.com",9,"0","0","0","0","0","0","0",9583,20,"d5488907","Hotel","Armenia","Yerevan","Yerevan","Prosh'yana str. 4","0019","Missing","29","Specialty Lodging in Yerevan","66","281","9","4","Missing","['0', '0', '2', '0', '1']","{'English': '3', 'Russian': '5', 'Italian': '1'}","Missing"
"Torosyans' Guesthouse","https://www.tripadvisor.com//Hotel_Review-g293932-d10350134-Reviews-Torosyans_Guesthouse-Yerevan.html","Booking.com",1,"0","0","0","0","0","0","0",31667,65,"d10350134","Hotel","Armenia","Yerevan","Yerevan","M. Babajanyan 16","0022","Missing","Missing","Specialty Lodging in Yerevan","107","281","1","5","Missing","['1', '0', '0', '0', '0']","{'English': '1'}","Missing"
"Toscana Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d9812286-Reviews-Toscana_Hotel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",19911,41,"d9812286","Hotel","Armenia","Yerevan","Yerevan","Garegin Nzhdehi St. 37/9","0013","Missing","19","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Tsghotner","https://www.tripadvisor.com//Hotel_Review-g293932-d9771458-Reviews-Tsghotner-Yerevan.html","Booking.com",1,"1","0","1","0","0","0","0",29167,60,"d9771458","Hotel","Armenia","Yerevan","Yerevan","Zavaryan str. 97","0070","Missing","6","B&Bs / Inns in Yerevan","59","139","1","5","Missing","['1', '0', '0', '0', '0']","{'English': '1'}","Missing"
"Tsirani ApartHotel","https://www.tripadvisor.com//Hotel_Review-g293932-d7993885-Reviews-Tsirani_ApartHotel-Yerevan.html","Booking.com",14,"1","0","1","0","0","0","0",20583,43,"d7993885","Hotel","Armenia","Yerevan","Yerevan","Babadzhanyana Street 3, Bldg 1","2210","Missing","3","B&Bs / Inns in Yerevan","21","139","14","Missing","Missing","['14', '0', '0', '0', '0']","{'English': '8', 'Russian': '5', 'French': '1'}","['balcony']"
"Tufenkian Historic Yerevan Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d3634113-Reviews-Tufenkian_Historic_Yerevan_Hotel-Yerevan.html","Expedia.com",422,"1","1","0","0","0","0","0",33913,70,"d3634113","Hotel","Armenia","Yerevan","Yerevan","Anrapyetutsyan str. 48","0010","Missing","269","Hotels in Yerevan","9","82","417","Missing","Certificate of Excellence","['271', '118', '18', '8', '2']","{'English': '225', 'Russian': '121', 'French': '20'}","['republic square', 'open air market', 'carpet shop', 'vernissage market', 'junior suite', 'excellent hotel', 'quiet area', 'clean bathroom', 'walking distance', 'armenian style', 'definitely stay here again', 'choose this hotel', 'central square', 'rooms are big', 'booked this hotel', 'convenient location', 'breakfast is served', 'excellent breakfast', 'yogurt', 'mount ararat', 'showroom', 'hamlet']"
"Tunn Kilikio","https://www.tripadvisor.com//Hotel_Review-g293932-d14985760-Reviews-Tunn_Kilikio-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",21990,45,"d14985760","Hotel","Armenia","Yerevan","Yerevan","Tsitsernakaberd Highway 4/5","0082","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Umba Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d8408895-Reviews-Umba_Hostel-Yerevan.html","Booking.com",65,"1","0","1","0","0","0","0",7500,15,"d8408895","Hotel","Armenia","Yerevan","Yerevan","Belyakov St., 5","0001","Missing","56","Specialty Lodging in Yerevan","17","281","60","4","Missing","['26', '7', '2', '0', '2']","{'English': '37', 'Russian': '16', 'Spanish': '3', 'Chinese': 'Trad.', 'Dutch': '1', 'French': '1'}","['reviews', 'vernissage', 'market', 'place', 'to', 'stay', 'home', 'away', 'from', 'home', 'yerevan', 'city', 'republic', 'square', 'accommodation', 'tours', 'guests', 'country']"
"Urartu Complex","https://www.tripadvisor.com//Hotel_Review-g293932-d15415630-Reviews-Urartu_Complex-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",6742,14,"d15415630","Hotel","Armenia","Yerevan","Yerevan","Tcovakal Isakovi 26","Missing","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Valensia Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d308343-Reviews-Valensia_Hotel-Yerevan.html","Booking.com",21,"1","0","1","0","0","0","0",18030,37,"d308343","Hotel","Armenia","Yerevan","Yerevan","Myasnikyana ave 40","0025","Missing","30","Hotels in Yerevan","71","82","20","Missing","Missing","['4', '3', '5', '4', '4']","{'Russian': '14', 'English': '6', 'French': '1'}","Missing"
"Van Gog Spa-Massage Salon","https://www.tripadvisor.com//Hotel_Review-g293932-d13338346-Reviews-Van_Gog_Spa_Massage_Salon-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",7990,17,"d13338346","Hotel","Armenia","Yerevan","Yerevan","9 Kajaznuni Street","0070","Missing","Missing","Missing","Missing","Missing","679","Missing","Missing","Missing","Missing","Missing"
"Van hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d11070551-Reviews-Van_hostel-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",4158,9,"d11070551","Hotel","Armenia","Yerevan","Yerevan","Pushkina str. 1","0010","Missing","Missing","Missing","Missing","Missing","379","Missing","Missing","Missing","Missing","Missing"
"Venezia Palazzo","https://www.tripadvisor.com//Hotel_Review-g293932-d6908328-Reviews-Venezia_Palazzo-Yerevan.html","Booking.com",33,"1","0","1","0","0","0","0",16667,34,"d6908328","Hotel","Armenia","Yerevan","Yerevan","Myasnikyana ave 38/4","0025","Missing","67","Hotels in Yerevan","46","82","33","4","Missing","['4', '6', '1', '0', '1']","{'English': '12', 'Russian': '21'}","Missing"
"Venice Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d9799421-Reviews-Venice_Hotel-Yerevan.html","Booking.com",3,"1","0","1","0","0","0","0",22500,46,"d9799421","Hotel","Armenia","Yerevan","Yerevan","Movses Khorenaci Street 217/19","0008","Missing","3","Hotels in Yerevan","66","82","3","4","Missing","['0', '0', '1', '0', '0']","{'English': '1', 'Russian': '2'}","Missing"
"Villa 29","https://www.tripadvisor.com//Hotel_Review-g293932-d6200911-Reviews-Villa_29-Yerevan.html","Booking.com",41,"1","0","1","0","0","0","0",25000,52,"d6200911","Hotel","Armenia","Yerevan","Yerevan","Kokhbatsi str. 29","0010","Missing","48","B&Bs / Inns in Yerevan","12","139","41","4.5","Missing","['6', '3', '2', '0', '0']","{'English': '11', 'Russian': '26', 'Italian': '2', 'Japanese': '2'}","['reviews', 'republic', 'square', 'sas', 'supermarket', 'english', 'breakfast']"
"Villa Ayghedzor","https://www.tripadvisor.com//Hotel_Review-g293932-d3182495-Reviews-Villa_Ayghedzor-Yerevan.html","Booking.com",21,"1","1","0","0","0","0","0",29167,60,"d3182495","Hotel","Armenia","Yerevan","Yerevan","Aygyedzor 23","0019","Missing","42","B&Bs / Inns in Yerevan","24","139","21","4","Missing","['5', '2', '0', '0', '2']","{'English': '9', 'Russian': '5', 'French': '3', 'Italian': '3', 'Spanish': '1'}","Missing"
"Villa Delenda","https://www.tripadvisor.com//Hotel_Review-g293932-d1903421-Reviews-Villa_Delenda-Yerevan.html","Booking.com",90,"1","0","0","0","0","0","0",17000,35,"d1903421","Hotel","Armenia","Yerevan","Yerevan","Kokhbatsi str. 22","0010","Missing","38","B&Bs / Inns in Yerevan","7","139","89","Missing","Missing","['47', '31', '6', '3', '2']","{'English': '45', 'Italian': '16', 'Russian': '14'}","['breakfast is served', 'bed and breakfast', 'other guests', 'big table', 'rooms are nice', 'ceramics', 'furniture', 'reception']"
"Villa des Roses Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d2658500-Reviews-Villa_des_Roses_Hotel-Yerevan.html","Expedia.com",4,"1","0","1","0","0","0","0",24104,50,"d2658500","Hotel","Armenia","Yerevan","Yerevan","123 Armenakyan","0047","Missing","17","B&Bs / Inns in Yerevan","63","139","4","3.5","Missing","['0', '1', '0', '0', '0']","{'English': '1', 'Italian': '1', 'Polish': '1', 'Russian': '1'}","Missing"
"Votre Maison","https://www.tripadvisor.com//Hotel_Review-g293932-d12989669-Reviews-Votre_Maison-Yerevan.html","Booking.com",3,"0","0","0","0","0","0","0",16667,34,"d12989669","Hotel","Armenia","Yerevan","Yerevan","Gazar Parpyettsi str. 6","0002","Missing","18","Specialty Lodging in Yerevan","111","281","3","3.5","Missing","['2', '0', '0', '0', '1']","Missing","Missing"
"Voyage Central","https://www.tripadvisor.com//Hotel_Review-g293932-d12613018-Reviews-Voyage_Central-Yerevan.html","Agoda.com",0,"1","0","1","0","0","0","0",11639,24,"d12613018","Hotel","Armenia","Yerevan","Yerevan","Abovyan str. 20","0001","Missing","Missing","Missing","Missing","Missing","240","Missing","Missing","Missing","Missing","Missing"
"Voyage Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8043455-Reviews-Voyage_Hotel-Yerevan.html","Booking.com",1,"1","0","0","0","0","0","1",47619,98,"d8043455","Hotel","Armenia","Yerevan","Yerevan","Mashtots M. ave 3/6","0015","Missing","Missing","B&Bs / Inns in Yerevan","79","139","1","1","Missing","['0', '0', '0', '0', '1']","{'English': '1'}","Missing"
"Wanderlust","https://www.tripadvisor.com//Hotel_Review-g293932-d12923571-Reviews-Wanderlust-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",13490,28,"d12923571","Hotel","Armenia","Yerevan","Yerevan","19 Teryan Street #17","0010","Missing","Missing","Missing","Missing","Missing","679","Missing","Missing","Missing","Missing","Missing"
"Welcome City Center Apartments","https://www.tripadvisor.com//Hotel_Review-g293932-d15631678-Reviews-Welcome_City_Center_Apartments-Yerevan.html","Booking.com",1,"0","0","0","0","0","0","0",14408,30,"d15631678","Hotel","Armenia","Yerevan","Yerevan","17 Pavstos Buzand Street, Ap. B5-3","Missing","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Welcome Friends Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15024437-Reviews-Welcome_Friends_Hostel-Yerevan.html","Booking.com",4,"1","1","0","0","0","0","0",14990,31,"d15024437","Hotel","Armenia","Yerevan","Yerevan","Yeznik Koghbatsi, 75","0002","Missing","Missing","Specialty Lodging in Yerevan","51","281","4","5","Missing","['1', '1', '0', '0', '0']","{'English': '2', 'French': '1', 'Russian': '1'}","Missing"
"White House Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d3640491-Reviews-White_House_Hotel-Yerevan.html","Booking.com",1,"1","0","0","0","0","0","1",15750,33,"d3640491","Hotel","Armenia","Yerevan","Yerevan","29 Ayvazovskii","350720","Missing","1","B&Bs / Inns in Yerevan","71","139","1","3","Missing","['0', '0', '1', '0', '0']","Missing","Missing"
"XY Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d10263186-Reviews-XY_Hotel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",13990,29,"d10263186","Hotel","Armenia","Yerevan","Yerevan","Garegin Nzhdehi St., 17","0006","Missing","Missing","Missing","Missing","Missing","679","Missing","Missing","Missing","Missing","Missing"
"Yere1 Hotel & Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15656614-Reviews-Yere1_Hotel_Hostel-Yerevan.html","Booking.com",1,"0","1","1","0","0","0","0",9989,21,"d15656614","Hotel","Armenia","Yerevan","Yerevan","Gazar Parpyettsi str. 9b","0002","Missing","Missing","Specialty Lodging in Yerevan","85","281","1","5","Missing","['1', '0', '0', '0', '0']","Missing","Missing"
"Yerevan Apartel","https://www.tripadvisor.com//Hotel_Review-g293932-d6980611-Reviews-Yerevan_Apartel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",4942,10,"d6980611","Hotel","Armenia","Yerevan","Yerevan","Argishti Street 11/3","0010","Missing","Missing","Missing","Missing","Missing","679","Missing","Missing","Missing","Missing","Missing"
"Yerevan Apartment at Tpagrichner","https://www.tripadvisor.com//Hotel_Review-g293932-d9995685-Reviews-Yerevan_Apartment_at_Tpagrichner-Yerevan.html","Agoda.com",2,"0","0","0","0","0","0","0",19939,41,"d9995685","Hotel","Armenia","Yerevan","Yerevan","Tpagrichnyeri str. 5","0010","Missing","1","Specialty Lodging in Yerevan","80","281","2","5","Missing","['2', '0', '0', '0', '0']","Missing","Missing"
"Yerevan Boutique Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d13536742-Reviews-Yerevan_Boutique_Hotel-Yerevan.html","Booking.com",17,"1","0","1","0","0","0","0",21367,44,"d13536742","Hotel","Armenia","Yerevan","Yerevan","Alek Manukyan Street","0010","Missing","45","Specialty Lodging in Yerevan","31","281","14","4.5","Missing","['7', '1', '2', '0', '0']","{'English': '10', 'Russian': '3', 'German': '1', 'Japanese': '1'}","Missing"
"Yerevan Home Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d13238509-Reviews-Yerevan_Home_Hostel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",6990,14,"d13238509","Hotel","Armenia","Yerevan","Yerevan","Pushkina str. 28/18","0010","Missing","1","Missing","Missing","Missing","679","Missing","Missing","Missing","Missing","Missing"
"Yerevan Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d2054510-Reviews-Yerevan_Hostel-Yerevan.html","Hotels.com",132,"1","0","1","0","0","0","0",19911,41,"d2054510","Hotel","Armenia","Yerevan","Yerevan","Tpagrichnyeri str. 5","0010","Missing","78","B&Bs / Inns in Yerevan","3","139","131","4.5","Certificate of Excellence","['53', '18', '1', '3', '3']","{'English': '78', 'Russian': '30', 'Japanese': '7', 'French': '5', 'Polish': '3', 'Czech': '2', 'German': '2', 'Indonesian': '2', 'Spanish': '2', 'Dutch': '1'}","['reviews', 'great', 'place', 'to', 'stay', 'free', 'breakfast', 'staff', 'members', 'are', 'living', 'room', 'washing', 'machine', 'republic', 'square', 'apartment', 'driver', 'english', 'city', 'dorm', 'accommodations']"
